title,personal_rating,imdb,year,genre,duration,budget,box_office,fan_rating
Rogue One,87,7.8,2016,action,133,265.0,1058.0,84.6842105263158
Frozen 1,70,7.4,2013,kids,102,150.0,1282.0,72.84210526315789
Frozen 2,87,6.8,2019,kids,103,150.0,1453.0,80.26315789473684
Chicken Little,89,5.7,2005,kids,81,150.0,314.4,84.21052631578948
Black Widow,95,6.7,2021,action,134,200.0,379.0,83.6
The Avengers,90,8.0,2012,action,143,220.0,1519.0,85.95
Captain America and the Winter Soldier,90,7.8,2014,action,136,170.0,714.4,86.75
Captain Marvel,90,6.8,2019,action,123,152.0,1131.0,85.65
Guardians of the Galaxy,87,8.0,2014,action,121,250.0,845.5,86.55
Doctor Strange,88,7.5,2016,action,115,294.5,677.8,82.3
Spider-Man: Into the Spider-Verse,95,8.4,2018,action,117,90.0,384.3,86.05263157894737
Legally Blonde,95,6.4,2001,comedy,96,18.0,141.8,91.95
Mean Girls,90,7.1,2004,comedy,97,17.0,1390.1,88.35
Barbie y el secreto de las hadas,100,5.9,2011,kids,72,17.5,125.0,90.94736842105263
Bolt,100,6.8,2008,kids,96,150.0,310.0,88.57894736842105
Blue Beetle,100,6.1,2023,action,127,104.0,129.270833,91.78947368421052
Elementos,100,7.0,2023,kids,101,200.0,497.7,88.6842105263158
Transformers,100,7.0,2007,action,144,147.0,709.7,90.94736842105263
Transformers: el último caballero,100,5.2,2017,action,154,260.0,605.4,92.42105263157895
Transformers: El Despertar De Las Bestias,100,6.1,2023,action,127,195.0,439.0,91.05263157894737
Sonic: la película,100,6.5,2020,adventure,99,95.0,306.8,92.42105263157895
Sonic 2: La película,100,6.5,2022,adventure,122,90.0,405.4,95.94736842105263
Mujercitas,100,7.8,2019,drama,135,40.0,218.843645,94.53333333333333
Orgullo y prejuicio,95,7.8,2005,drama,129,28.0,121.616555,88.88888888888889
Emma,95,6.7,2020,comedy,124,10.0,26.40466,86.08333333333333
El cisne negro,90,8.0,2010,drama,108,13.0,329.398046,89.61111111111111
Lady bird,100,7.4,2017,comedy,94,10.0,78.986478,87.14285714285714
10 cosas que odio de ti,90,7.3,1999,romance,97,30.0,53.479734,74.44444444444444
Midsommar,80,7.1,2019,terror,148,9.0,48.059189,82.625
Tinkerbell,100,8.9,2008,adventure,78,0.05,9.19951,78.6842105263158
Juego de gemelas,95,6.6,1998,comedy,128,15.0,92.108659,85.7
El cadaver de la novia,95,7.3,2005,drama,77,40.0,118.133252,91.3157894736842
El diablo viste a la moda,90,6.9,2006,comedy,109,35.0,326.706115,89.9375
Los juegos del hambre,90,7.2,2012,action,142,78.0,694.394724,83.15789473684211
Los juegos del hambre en llamas,100,7.5,2013,action,146,130.0,865.011746,87.88888888888889
Los juegos del hambre sinsajo parte 1,90,6.6,2014,action,123,125.0,755.356711,79.83333333333333
Los juegos del hambre sinsajo parte 2,95,6.5,2015,action,137,160.0,653.428261,86.94444444444444
Intensamente,85,8.1,2015,adventure,95,175.0,858.848019,78.22222222222223
Moana,90,7.6,2016,adventure,107,150.0,687.228908,82.89473684210526
El diario de una pasión,85,7.8,2004,romance,123,29.0,118.230644,81.0625
Alicia en el país de las maravillas,95,6.4,2010,fantasy,108,205.0,1078.46711,79.0909090909091
Alicia a través del espejo,85,6.2,2016,fantasy,113,170.0,295.463225,84.28571428571429
Monsters inc,90,8.1,2001,adventure,152,115.0,579.707738,89.10526315789474
Monsters university,90,7.2,2013,adventure,104,200.0,743.559645,90.42105263157895
Titanic,80,7.9,1997,romance,194,200.0,2264.743305,81.75
Lilo y stitch,90,7.3,2002,adventure,85,80.0,273.144151,86.3
Coraline,95,7.7,2009,drama,100,60.0,124.627844,80.0
Shrek 1,95,7.9,2001,adventure,90,60.0,488.441368,92.26315789473684
Interestellar,97,8.7,2014,science_fiction,169,165.0,715.751038,86.92857142857143
Up,90,8.3,2009,adventure,96,175.0,735.099102,80.29411764705883
Buscando a nemo,85,8.2,2003,adventure,100,94.0,941.63796,76.42105263157895
Los increíbles,85,8.0,2004,action,77,92.0,631.607053,84.0
